v3	V(vin)	V(vout)
8.299999999999951e+000	8.300000e+000	-8.236846e-001
8.399999999999951e+000	8.400000e+000	-8.336841e-001
8.499999999999950e+000	8.500000e+000	-8.436835e-001
8.599999999999950e+000	8.600000e+000	-8.536829e-001
8.699999999999950e+000	8.700000e+000	-8.636824e-001
8.799999999999949e+000	8.800000e+000	-8.736818e-001
8.899999999999949e+000	8.900000e+000	-8.836812e-001
8.999999999999949e+000	9.000000e+000	-8.936807e-001
9.099999999999948e+000	9.100000e+000	-9.036801e-001
9.199999999999948e+000	9.200000e+000	-9.136795e-001
9.299999999999947e+000	9.300000e+000	-9.236790e-001
9.399999999999947e+000	9.400000e+000	-9.336784e-001
9.499999999999947e+000	9.500000e+000	-9.436778e-001
9.599999999999946e+000	9.600000e+000	-9.536773e-001
9.699999999999946e+000	9.700000e+000	-9.636767e-001
9.799999999999946e+000	9.800000e+000	-9.736761e-001
9.899999999999945e+000	9.900000e+000	-9.836756e-001
9.999999999999945e+000	1.000000e+001	-9.936750e-001
1.009999999999995e+001	1.010000e+001	-1.003674e+000
1.019999999999994e+001	1.020000e+001	-1.013674e+000
1.029999999999994e+001	1.030000e+001	-1.023673e+000
1.039999999999994e+001	1.040000e+001	-1.033673e+000
1.049999999999994e+001	1.050000e+001	-1.043672e+000
1.059999999999994e+001	1.060000e+001	-1.053672e+000
1.069999999999994e+001	1.070000e+001	-1.063671e+000
1.079999999999994e+001	1.080000e+001	-1.073671e+000
1.089999999999994e+001	1.090000e+001	-1.083670e+000
1.099999999999994e+001	1.100000e+001	-1.093669e+000
1.109999999999994e+001	1.110000e+001	-1.103669e+000
1.119999999999994e+001	1.120000e+001	-1.113668e+000
1.129999999999994e+001	1.130000e+001	-1.123668e+000
1.139999999999994e+001	1.140000e+001	-1.133667e+000
1.149999999999994e+001	1.150000e+001	-1.143667e+000
1.159999999999994e+001	1.160000e+001	-1.153666e+000
1.169999999999994e+001	1.170000e+001	-1.163665e+000
1.179999999999994e+001	1.180000e+001	-1.173665e+000
1.189999999999994e+001	1.190000e+001	-1.183664e+000
1.199999999999994e+001	1.200000e+001	-1.193664e+000
1.209999999999994e+001	1.210000e+001	-1.203663e+000
1.219999999999994e+001	1.220000e+001	-1.213663e+000
1.229999999999994e+001	1.230000e+001	-1.223662e+000
