Freq.	V(vo)
Step Information: 1=1  (Run: 1/11)
4.26579518801592e-001	(2.88210356842036e+001dB,1.79599448361341e+002°)
4.36515832240165e-001	(2.88210256815488e+001dB,1.79590118629789e+002°)
4.46683592150962e-001	(2.88210152075081e+001dB,1.79580571603376e+002°)
4.57088189614874e-001	(2.88210042398681e+001dB,1.79570802222264e+002°)
4.67735141287197e-001	(2.88209927553688e+001dB,1.79560805308872e+002°)
4.78630092322638e-001	(2.88209807296544e+001dB,1.79550575565139e+002°)
4.89778819368445e-001	(2.88209681372212e+001dB,1.79540107569730e+002°)
5.01187233627271e-001	(2.88209549513640e+001dB,1.79529395775173e+002°)
5.12861383991364e-001	(2.88209411441194e+001dB,1.79518434504928e+002°)
5.24807460249772e-001	(2.88209266862064e+001dB,1.79507217950397e+002°)
5.37031796370252e-001	(2.88209115469647e+001dB,1.79495740167854e+002°)
5.49540873857624e-001	(2.88208956942890e+001dB,1.79483995075313e+002°)
5.62341325190348e-001	(2.88208790945617e+001dB,1.79471976449323e+002°)
5.75439937337156e-001	(2.88208617125814e+001dB,1.79459677921680e+002°)
5.88843655355588e-001	(2.88208435114881e+001dB,1.79447092976078e+002°)
6.02559586074357e-001	(2.88208244526855e+001dB,1.79434214944672e+002°)
6.16595001861481e-001	(2.88208044957589e+001dB,1.79421037004568e+002°)
6.30957344480192e-001	(2.88207835983896e+001dB,1.79407552174226e+002°)
6.45654229034654e-001	(2.88207617162653e+001dB,1.79393753309789e+002°)
6.60693448007595e-001	(2.88207388029866e+001dB,1.79379633101324e+002°)
6.76082975391981e-001	(2.88207148099678e+001dB,1.79365184068972e+002°)
6.91830970918935e-001	(2.88206896863349e+001dB,1.79350398559021e+002°)
7.07945784384137e-001	(2.88206633788175e+001dB,1.79335268739879e+002°)
7.24435960074989e-001	(2.88206358316358e+001dB,1.79319786597959e+002°)
7.41310241300916e-001	(2.88206069863826e+001dB,1.79303943933474e+002°)
7.58577575029182e-001	(2.88205767819000e+001dB,1.79287732356127e+002°)
7.76247116628690e-001	(2.88205451541490e+001dB,1.79271143280715e+002°)
7.94328234724280e-001	(2.88205120360750e+001dB,1.79254167922621e+002°)
8.12830516164098e-001	(2.88204773574649e+001dB,1.79236797293212e+002°)
8.31763771102669e-001	(2.88204410447990e+001dB,1.79219022195129e+002°)
8.51138038202375e-001	(2.88204030210953e+001dB,1.79200833217475e+002°)
8.70963589956079e-001	(2.88203632057465e+001dB,1.79182220730885e+002°)
8.91250938133744e-001	(2.88203215143493e+001dB,1.79163174882491e+002°)
9.12010839355908e-001	(2.88202778585261e+001dB,1.79143685590780e+002°)
9.33254300796989e-001	(2.88202321457377e+001dB,1.79123742540319e+002°)
9.54992586021434e-001	(2.88201842790876e+001dB,1.79103335176378e+002°)
9.77237220955809e-001	(2.88201341571173e+001dB,1.79082452699425e+002°)
9.99999999999998e-001	(2.88200816735912e+001dB,1.79061084059498e+002°)
1.02329299228075e+000	(2.88200267172726e+001dB,1.79039217950450e+002°)
1.04712854805090e+000	(2.88199691716878e+001dB,1.79016842804072e+002°)
1.07151930523760e+000	(2.88199089148804e+001dB,1.78993946784078e+002°)
1.09647819614318e+000	(2.88198458191532e+001dB,1.78970517779960e+002°)
1.12201845430196e+000	(2.88197797507984e+001dB,1.78946543400707e+002°)
1.14815362149688e+000	(2.88197105698153e+001dB,1.78922010968382e+002°)
1.17489755493953e+000	(2.88196381296140e+001dB,1.78896907511566e+002°)
1.20226443461741e+000	(2.88195622767063e+001dB,1.78871219758643e+002°)
1.23026877081238e+000	(2.88194828503811e+001dB,1.78844934130957e+002°)
1.25892541179416e+000	(2.88193996823653e+001dB,1.78818036735800e+002°)
1.28824955169313e+000	(2.88193125964687e+001dB,1.78790513359264e+002°)
1.31825673855640e+000	(2.88192214082119e+001dB,1.78762349458926e+002°)
1.34896288259165e+000	(2.88191259244371e+001dB,1.78733530156382e+002°)
1.38038426460288e+000	(2.88190259429005e+001dB,1.78704040229616e+002°)
1.41253754462275e+000	(2.88189212518463e+001dB,1.78673864105210e+002°)
1.44543977074592e+000	(2.88188116295595e+001dB,1.78642985850380e+002°)
1.47910838816820e+000	(2.88186968438992e+001dB,1.78611389164850e+002°)
1.51356124843620e+000	(2.88185766518089e+001dB,1.78579057372552e+002°)
1.54881661891248e+000	(2.88184507988050e+001dB,1.78545973413146e+002°)
1.58489319246111e+000	(2.88183190184405e+001dB,1.78512119833371e+002°)
1.62181009735892e+000	(2.88181810317445e+001dB,1.78477478778208e+002°)
1.65958690743756e+000	(2.88180365466347e+001dB,1.78442031981867e+002°)
1.69824365246174e+000	(2.88178852573033e+001dB,1.78405760758577e+002°)
1.73780082874937e+000	(2.88177268435739e+001dB,1.78368645993204e+002°)
1.77827941003892e+000	(2.88175609702283e+001dB,1.78330668131662e+002°)
1.81970085860998e+000	(2.88173872863028e+001dB,1.78291807171140e+002°)
1.86208713666286e+000	(2.88172054243506e+001dB,1.78252042650132e+002°)
1.90546071796324e+000	(2.88170149996705e+001dB,1.78211353638268e+002°)
