Freq.	V(vin)/I(R1)
3.16227766016839e+007	(8.79854394635479e+001dB,-9.27522846148141e-001°)
3.98107170553499e+007	(8.79758382982138e+001dB,-7.46286673560070e-001°)
5.01187233627275e+007	(8.79696455906742e+001dB,-5.97686595954110e-001°)
6.30957344480196e+007	(8.79656829437593e+001dB,-4.77248863700307e-001°)
7.94328234724286e+007	(8.79631601659023e+001dB,-3.80354241890594e-001°)
1.00000000000001e+008	(8.79615592149380e+001dB,-3.02765223755070e-001°)
1.25892541179417e+008	(8.79605452440055e+001dB,-2.40819581036881e-001°)
1.58489319246112e+008	(8.79599037432805e+001dB,-1.91456023317014e-001°)
1.99526231496889e+008	(8.79594980785449e+001dB,-1.52165284490461e-001°)
2.51188643150959e+008	(8.79592415521608e+001dB,-1.20914909899600e-001°)
3.16227766016840e+008	(8.79590792982550e+001dB,-9.60707787411528e-002°)
3.98107170553499e+008	(8.79589766506115e+001dB,-7.63251486590243e-002°)
5.01187233627275e+008	(8.79589117126916e+001dB,-6.06345057026503e-002°)
6.30957344480197e+008	(8.79588706423173e+001dB,-4.81676104999423e-002°)
7.94328234724286e+008	(8.79588446786148e+001dB,-3.82629604299628e-002°)
1.00000000000001e+009	(8.79588282728316e+001dB,-3.03944268660510e-002°)
1.25892541179417e+009	(8.79588179108092e+001dB,-2.41437058770522e-002°)
1.58489319246112e+009	(8.79588113682193e+001dB,-1.91783101654602e-002°)
1.99526231496889e+009	(8.79588072381989e+001dB,-1.52340167153318e-002°)
2.51188643150960e+009	(8.79588046315404e+001dB,-1.21008820508641e-002°)
3.16227766016840e+009	(8.79588029865282e+001dB,-9.61210876361160e-003°)
3.98107170553500e+009	(8.79588019484658e+001dB,-7.63518772891765e-003°)
5.01187233627275e+009	(8.79588012934406e+001dB,-6.06485440171762e-003°)
6.30957344480197e+009	(8.79588008801267e+001dB,-4.81748971306680e-003°)
7.94328234724287e+009	(8.79588006193350e+001dB,-3.82667041803855e-003°)
1.00000000000001e+010	(8.79588004547832e+001dB,-3.03963352059043e-003°)
1.25892541179418e+010	(8.79588003509567e+001dB,-2.41446731146186e-003°)
1.58489319246112e+010	(8.79588002854461e+001dB,-1.91787984948386e-003°)
1.99526231496889e+010	(8.79588002441115e+001dB,-1.52342626170458e-003°)
2.51188643150960e+010	(8.79588002180310e+001dB,-1.21010056659750e-003°)
3.16227766016840e+010	(8.79588002015753e+001dB,-9.61217083695780e-004°)
3.98107170553500e+010	(8.79588001911925e+001dB,-7.63521887718821e-004°)
5.01187233627276e+010	(8.79588001846413e+001dB,-6.06487002487165e-004°)
6.30957344480198e+010	(8.79588001805078e+001dB,-4.81749754700912e-004°)
7.94328234724287e+010	(8.79588001778998e+001dB,-3.82667434551963e-004°)
1.00000000000000e+011	(8.79588001762542e+001dB,-3.03963548937683e-004°)
