time	V(vin)	V(vout)
3.936930905850352e-002	-1.967213e-001	2.058418e-001
3.948614778618210e-002	-1.606821e-001	1.698083e-001
3.960298651386068e-002	-1.244511e-001	1.335828e-001
3.971982524153926e-002	-8.802820e-002	9.716532e-002
3.983666396921784e-002	-5.141353e-002	6.055578e-002
3.995350269689642e-002	-1.460704e-002	2.375421e-002
4.001758961095892e-002	5.525911e-003	3.623853e-003
4.003895191564642e-002	1.223680e-002	-3.086188e-003
4.027661575760448e-002	8.679207e-002	-7.761788e-002
4.028673098501901e-002	8.995742e-002	-7.620855e-002
4.028680571371326e-002	8.998080e-002	-7.628550e-002
4.028689954298750e-002	9.001017e-002	-7.663985e-002
4.028699003580049e-002	9.003848e-002	-7.700834e-002
4.028707260122108e-002	9.006431e-002	-7.712761e-002
4.028773515710020e-002	9.027161e-002	-7.703996e-002
4.028839771297931e-002	9.047891e-002	-7.695090e-002
4.028906026885843e-002	9.068620e-002	-7.686041e-002
4.028972282473755e-002	9.089349e-002	-7.676851e-002
4.029038538061667e-002	9.110078e-002	-7.667518e-002
4.029104793649578e-002	9.130806e-002	-7.658043e-002
4.029171049237490e-002	9.151533e-002	-7.648426e-002
4.029263530430009e-002	9.180465e-002	-7.635377e-002
4.029271763532387e-002	9.183040e-002	-7.648640e-002
4.029287361189504e-002	9.187920e-002	-7.780382e-002
4.029302196830081e-002	9.192561e-002	-7.969782e-002
4.029315492817340e-002	9.196720e-002	-8.093970e-002
4.029330385559120e-002	9.201378e-002	-8.175802e-002
4.029351353243824e-002	9.207938e-002	-8.242329e-002
4.029375303509730e-002	9.215430e-002	-8.279321e-002
4.029415052287774e-002	9.227864e-002	-8.308512e-002
4.029455171331203e-002	9.240414e-002	-8.323785e-002
4.047190745504491e-002	1.480656e-001	-1.388964e-001
4.064926319677779e-002	2.028707e-001	-1.936985e-001
4.082661893851068e-002	2.568194e-001	-2.476441e-001
4.100397468024357e-002	3.099116e-001	-3.007332e-001
4.118133042197646e-002	3.621475e-001	-3.529659e-001
4.135868616370934e-002	4.135269e-001	-4.043420e-001
4.153604190544222e-002	4.640500e-001	-4.548616e-001
4.181510156182212e-002	5.398265e-001	-5.306361e-001
4.213316023850357e-002	6.225871e-001	-6.133966e-001
4.245121891518502e-002	6.975312e-001	-6.883427e-001
4.276927759186647e-002	7.646590e-001	-7.554745e-001
4.308733626854792e-002	8.239703e-001	-8.147918e-001
4.340539494522937e-002	8.754651e-001	-8.662947e-001
4.372345362191081e-002	9.191436e-001	-9.099832e-001
4.404151229859226e-002	9.550056e-001	-9.458573e-001
4.450690133956418e-002	9.863605e-001	-9.772350e-001
4.497229038053611e-002	9.975144e-001	-9.884134e-001
4.543767942150803e-002	9.884674e-001	-9.793924e-001
4.590306846247996e-002	9.592194e-001	-9.501722e-001
4.636845750345187e-002	9.097705e-001	-9.007527e-001
4.683384654442380e-002	8.401207e-001	-8.311338e-001
4.729923558539572e-002	7.502699e-001	-7.413157e-001
4.753901655637788e-002	6.975201e-001	-6.885824e-001
4.777879752736004e-002	6.416585e-001	-6.327368e-001
4.801857849834219e-002	5.826849e-001	-5.737788e-001
4.825835946932436e-002	5.205994e-001	-5.117085e-001
4.849814044030652e-002	4.554020e-001	-4.465258e-001
4.873792141128867e-002	3.870927e-001	-3.782308e-001
4.897770238227083e-002	3.156715e-001	-3.068235e-001
4.908437766652028e-002	2.836075e-001	-2.747653e-001
4.919105295076973e-002	2.513168e-001	-2.424803e-001
4.929772823501918e-002	2.187996e-001	-2.099686e-001
4.940440351926862e-002	1.860558e-001	-1.772302e-001
4.951107880351807e-002	1.530855e-001	-1.442650e-001
4.961775408776752e-002	1.198885e-001	-1.110731e-001
4.972442937201697e-002	8.646496e-002	-7.765449e-002
4.972502280837846e-002	8.627923e-002	-7.762194e-002
4.973014468820115e-002	8.467603e-002	-7.808586e-002
4.973046132451958e-002	8.457691e-002	-7.811449e-002
4.973089154657943e-002	8.444224e-002	-7.744339e-002
4.973130798604445e-002	8.431187e-002	-7.605557e-002
4.973161716217904e-002	8.421509e-002	-7.545880e-002
4.973202682034640e-002	8.408685e-002	-7.530608e-002
4.996070182776263e-002	1.234557e-002	-3.545220e-003
4.998907426711703e-002	3.432414e-003	5.366789e-003
5.007433742913427e-002	-2.339979e-002	3.219560e-002
5.015960059115149e-002	-5.016725e-002	5.895980e-002
5.024486375316873e-002	-7.686996e-002	8.565940e-002
5.033012691518596e-002	-1.035079e-001	1.122944e-001
5.041539007720319e-002	-1.300812e-001	1.388648e-001
5.050065323922042e-002	-1.565896e-001	1.653705e-001
5.058591640123766e-002	-1.830334e-001	1.918117e-001
5.079043831759864e-002	-2.463930e-001	2.551657e-001
5.099496023395961e-002	-3.081188e-001	3.168867e-001
5.119948215032059e-002	-3.682109e-001	3.769749e-001
5.140400406668156e-002	-4.266693e-001	4.354302e-001
5.160852598304254e-002	-4.834939e-001	4.922527e-001
5.181304789940351e-002	-5.386847e-001	5.474423e-001
5.201756981576449e-002	-5.922418e-001	6.009989e-001
5.236882744472816e-002	-6.789549e-001	6.877136e-001
5.272008507369184e-002	-7.555378e-001	7.643005e-001
5.307134270265552e-002	-8.219905e-001	8.307596e-001
5.342260033161919e-002	-8.783131e-001	8.870910e-001
5.377385796058287e-002	-9.245056e-001	9.332947e-001
5.412511558954655e-002	-9.605679e-001	9.693707e-001
5.447637321851022e-002	-9.865000e-001	9.953189e-001
5.489751579663522e-002	-9.976249e-001	1.006467e+000
5.531865837476024e-002	-9.925275e-001	1.001393e+000
5.573980095288524e-002	-9.712078e-001	9.800987e-001
5.616094353101025e-002	-9.336658e-001	9.425829e-001
5.658208610913526e-002	-8.799016e-001	8.888459e-001
5.700322868726027e-002	-8.099150e-001	8.188878e-001
5.742437126538528e-002	-7.237061e-001	7.327085e-001
5.765979258234958e-002	-6.698937e-001	6.789120e-001
5.789521389931388e-002	-6.132390e-001	6.222728e-001
5.813063521627818e-002	-5.537420e-001	5.627909e-001
5.836605653324248e-002	-4.914027e-001	5.004662e-001
5.860147785020678e-002	-4.262211e-001	4.352989e-001
5.883689916717108e-002	-3.581972e-001	3.672887e-001
